"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверка ошибки при обновлении данных неавторизованного пользователя","154","Обновление данных пользователя без авторизации","tests","2026-08-18","passed","2026-08-18","TestUserUpdate","test_user_update","",""
"Проверка создания заказа неавторизованным пользователем","163","Создание заказа без авторизации","tests","2026-08-18","passed","2026-08-18","TestOrders","test_orders","",""
"Проверка создания заказа с валидными ингредиентами","3774","Создание заказа с ингредиентами","tests","2026-08-18","passed","2026-08-18","TestOrders","test_orders","",""
"Проверка ошибки при входе с неверным email и паролем","158","Логин с неверными учетными данными","tests","2026-08-18","passed","2026-08-18","TestUserLogin","test_user_login","",""
"Проверка ошибки при входе с неверным email и паролем","160","Логин с неверными учетными данными","tests","2026-08-16","passed","2026-08-16","TestUserLogin","test_user_login","",""
"Проверка возможности обновления данных авторизованного пользователя","157","Обновление данных пользователя с авторизацией","tests","2026-08-18","passed","2026-08-18","TestUserUpdate","test_user_update","",""
"Проверка ошибки при создании заказа без ингредиентов","154","Создание заказа без ингредиентов","tests","2026-08-18","passed","2026-08-18","TestOrders","test_orders","",""
"Проверка ошибки при отсутствии одного из обязательных полей","154","Создание пользователя без обязательного поля","tests","2026-08-18","passed","2026-08-18","TestUserCreation","test_user_creation","",""
"Проверка ошибки при создании заказа с невалидным хешем ингредиента","161","Создание заказа с неверным хешем ингредиента","tests","2026-08-18","passed","2026-08-18","TestOrders","test_orders","",""
"Проверка ошибки при попытке создать существующего пользователя","163","Создание пользователя, который уже зарегистрирован","tests","2026-08-18","passed","2026-08-18","TestUserCreation","test_user_creation","",""
"Проверка ошибки при входе с неверным email и паролем","241","Логин с неверными учетными данными","tests","2026-08-16","passed","2026-08-16","TestUserLogin","test_user_login","",""
"Проверка ошибки при отсутствии одного из обязательных полей","161","Создание пользователя без обязательного поля","tests","2026-08-18","passed","2026-08-18","TestUserCreation","test_user_creation","",""
"Проверка ошибки при входе с неверным email и паролем","234","Логин с неверными учетными данными","tests","2026-08-18","passed","2026-08-18","TestUserLogin","test_user_login","",""
"Проверка успешного создания нового пользователя","397","Создание уникального пользователя","tests","2026-08-18","passed","2026-08-18","TestUserCreation","test_user_creation","",""
"Проверка успешного входа существующего пользователя","235","Логин под существующим пользователем","tests","2026-08-18","passed","2026-08-18","TestUserLogin","test_user_login","",""
"Проверка возможности обновления email авторизованного пользователя","160","Обновление email пользователя с авторизацией","tests","2026-08-18","passed","2026-08-18","TestUserUpdate","test_user_update","",""
"Проверка ошибки при обновлении данных неавторизованного пользователя","156","Обновление данных пользователя без авторизации","tests","2026-08-18","passed","2026-08-18","TestUserUpdate","test_user_update","",""
"Проверка ошибки при отсутствии одного из обязательных полей","159","Создание пользователя без обязательного поля","tests","2026-08-18","passed","2026-08-18","TestUserCreation","test_user_creation","",""
"Проверка возможности обновления данных авторизованного пользователя","158","Обновление данных пользователя с авторизацией","tests","2026-08-18","passed","2026-08-18","TestUserUpdate","test_user_update","",""
"Проверка успешного создания заказа авторизованным пользователем","3737","Создание заказа с авторизацией","tests","2026-08-18","passed","2026-08-18","TestOrders","test_orders","",""
"Проверка ошибки при входе с неверным email и паролем","160","Логин с неверными учетными данными","tests","2026-08-18","passed","2026-08-18","TestUserLogin","test_user_login","",""
"Проверка ошибки при входе с неверным email и паролем","160","Логин с неверными учетными данными","tests","2026-08-16","passed","2026-08-16","TestUserLogin","test_user_login","",""
"Проверка возможности обновления имени авторизованного пользователя","162","Обновление имени пользователя с авторизацией","tests","2026-08-18","passed","2026-08-18","TestUserUpdate","test_user_update","",""
"Проверка получения списка заказов авторизованным пользователем","680","Получение заказов авторизованного пользователя","tests","2026-08-18","passed","2026-08-18","TestUserOrders","test_orders_user","",""
"Проверка ошибки при получении заказов без авторизации","165","Получение заказов неавторизованного пользователя","tests","2026-08-18","passed","2026-08-18","TestUserOrders","test_orders_user","",""
